dataset,model,Recall@10,Recall@20,Precision@10,Precision@20,NDCG@10,NDCG@20,F1@10,F1@20,MRR@10,MRR@20,HitRatio@10,HitRatio@20,val_Recall@10,val_Recall@20,val_Precision@10,val_Precision@20,val_NDCG@10,val_NDCG@20,val_F1@10,val_F1@20,val_MRR@10,val_MRR@20,val_HitRatio@10,val_HitRatio@20,infer_total_s,infer_ms_per_user,train_seconds,best_val_NDCG@10,device,is_real_data,seed,git_commit,epochs,n_layers
amazon_video_games,LightGCN,0.004874347223549871,0.008116830432411015,0.001310690677000228,0.0010542511967175747,0.0034898153837365146,0.004493130939014076,0.0020658762533372816,0.0018661219129800768,0.005105135664173731,0.005581264779260229,0.012309095053567358,0.019147481194438112,0.013859153067117968,0.02025338550268737,0.0041067079920301085,0.003052357759574939,0.010268854416332426,0.012311188511238434,0.006335960684113276,0.005305179731975593,0.0161102589511932,0.0172433788044658,0.03658401593978304,0.052689838388310824,0.016002116055460647,0.0018238108109711246,74.47702073401888,0.010268854416332426,cuda,True,43,not-a-git-repo,50,2
amazon_video_games,NGCF,0.004542921554564386,0.007947913472642216,0.001276498746295874,0.0011625256439480281,0.002942201107947093,0.004074959101859419,0.0019929935866858407,0.002028366165358826,0.0041135244463259045,0.004769833457714588,0.012423068155915203,0.02176886254843857,0.013362281938653449,0.021306647770675275,0.004200796989152092,0.0034259464246181094,0.009399423048879404,0.012020090091791254,0.006392072138015537,0.005902772121206227,0.014032218673020088,0.015483272390674492,0.037856984724374584,0.059442107593535534,0.023733608046313748,0.002704992938946176,142.85790568299126,0.009399423048879404,cuda,True,43,not-a-git-repo,50,2
amazon_video_games,Sheaf4Rec-official,0.0040592447703840006,0.006341120733171268,0.001002963300661044,0.0007693184408479599,0.0027317993115283643,0.003414457299419277,0.00160849711270558,0.0013721630960565477,0.003945414120362832,0.004294248185506025,0.009687713699566902,0.014588557100524277,0.010341126383449287,0.015352903812537164,0.0031381447863626302,0.002260903254372371,0.007932185057704136,0.009468189419466666,0.004815089990624654,0.003941388714202785,0.013206172624757968,0.01398523170143934,0.029499667921186627,0.040956386982510515,0.0987785859615542,0.011258101887571712,461.6641326220124,0.007932185057704136,cuda,True,43,not-a-git-repo,50,2
amazon_video_games,NCL,0.008161141404686116,0.013161735755501393,0.0026099840437656713,0.0019375427399133803,0.005741060177878869,0.007271381034111759,0.003955101803815272,0.0033778336581412336,0.008600084665733173,0.009334574183937383,0.024048324595395486,0.03453385001139731,0.018365201578544262,0.026705345663569913,0.006243081691388089,0.00456608368386097,0.013841545452335268,0.01661596006553509,0.009318443913863196,0.007798738059046338,0.022769932635440714,0.024235651345377775,0.05473765773743635,0.07604604826212087,0.01754882698878646,0.0020000942544775996,72.60390225599986,0.013841545452335268,cuda,True,43,not-a-git-repo,50,2
amazon_video_games,DirectAU,0.004881485360892221,0.0073365811143050914,0.0011853202644175975,0.0009288807841349442,0.0031272262689243315,0.0038962178939811565,0.0019074695568239552,0.0016489844855764237,0.004216416830389933,0.004603692270960149,0.011283337132436745,0.01698199224982904,0.011723555904688555,0.017373037310335234,0.0034757582466238652,0.0026676998007527123,0.008551612976268797,0.010412815082941219,0.005361853266511852,0.004625183985434232,0.013167012801726108,0.014202033129086139,0.032322337834846136,0.047487270312154085,0.01779764494858682,0.0020284528092759085,134.4814864989894,0.008551612976268797,cuda,True,43,not-a-git-repo,50,2
amazon_video_games,LightGCN,0.004815128997521952,0.007913711031025344,0.0012651014360610896,0.0010086619557784363,0.003130928597088103,0.004101268951132315,0.0020037486000327983,0.0017892682266982555,0.0041685662183724645,0.004624742424473158,0.01196717574652382,0.01834966947800319,0.013922131921831839,0.020336228604379843,0.004322559220721718,0.0031796546380340935,0.010302966200629524,0.012354046610606547,0.00659690418879797,0.00549944758063872,0.016351125905310095,0.017465021465438102,0.03874252822669914,0.05473765773743635,0.01569390998338349,0.0017886836087740476,62.38455029699253,0.010302966200629524,cuda,True,44,not-a-git-repo,50,2
amazon_video_games,NGCF,0.0046576786695503285,0.008191429050016944,0.001310690677000228,0.001099840437656713,0.003266447841989408,0.004357834386036497,0.0020457098594847253,0.0019392968686048272,0.0051056783932325305,0.005646258644249649,0.012992933667654433,0.020857077729655803,0.013514892400896983,0.02165093135649641,0.004056896170024352,0.003251605047597963,0.009822227657373886,0.012396597447011402,0.006240516154425296,0.005654064834327946,0.015023557389895664,0.016393525917126048,0.03680540181536418,0.057228248837724156,0.023739691969240084,0.0027056863425165356,142.85739919901243,0.009822227657373886,cuda,True,44,not-a-git-repo,50,2
amazon_video_games,Sheaf4Rec-official,0.005010374036908774,0.007407657628630479,0.0012423068155915204,0.0009288807841349442,0.0032382386194038538,0.0039900641152483774,0.001990960985071092,0.0016507644986434962,0.004348209536835021,0.004784211024335414,0.012081148848871666,0.018007750170959652,0.011046944869666824,0.01681272333607581,0.003298649546158955,0.0024629178658401593,0.008251600265160598,0.010041347882675012,0.005080305301336217,0.004296444019069306,0.013311221101236599,0.014264818462475438,0.030827983174673456,0.044664600398494576,0.09913866998977028,0.011299141781373409,462.3069981940207,0.008251600265160598,cuda,True,44,not-a-git-repo,50,2
amazon_video_games,NCL,0.0069032893173895885,0.01007616016728572,0.001641212673808981,0.001293594711648051,0.004151869241999806,0.005185998340773553,0.00265194295240153,0.002292831753175296,0.00526610005752928,0.005819430073788399,0.015956234328698426,0.02427627080009118,0.015697248430777546,0.02334990146254912,0.004682311268541067,0.003569847243745849,0.011116863047631778,0.013651015070816404,0.007213051145062347,0.00619289446474856,0.01688499970130477,0.018288993941900214,0.04283816692495019,0.06287358866504317,0.017884922999655828,0.002038400159523117,72.84155832297984,0.011116863047631778,cuda,True,44,not-a-git-repo,50,2
amazon_video_games,DirectAU,0.004360531724198899,0.006816228370266617,0.0012195121951219512,0.0009345794392523364,0.0031095125041364687,0.003876572654670974,0.0019059784086874817,0.0016437788278729126,0.004643363689978689,0.005035920050614818,0.01139731023478459,0.01720993845452473,0.012493411626917951,0.019576287860749532,0.0038797874695594417,0.0030080805844587117,0.008942019460981575,0.011165576288767616,0.005920868804752145,0.005214850401733469,0.013508974913114827,0.014666822368572668,0.035366393624086785,0.05263449191941554,0.017509317985968664,0.0019955912908557858,331.4158355180116,0.008942019460981575,cuda,True,44,not-a-git-repo,50,2
